system	title	rom
32X	36 Great Holes Starring Fred Couples	36 Great Holes Starring Fred Couples (JU) (32X) [!].32x
32X	After Burner Complete	After Burner Complete (JU) (32X) [!].32x
32X	BC Racers	BC Racers (W) (32X) [c][!].32x
32X	Blackthorne	Blackthorne (U) (32X) [!].32x
32X	Brutal Unleashed - Above the Claw	Brutal Unleashed - Above the Claw (U) (32X) [!].32x
32X	Cosmic Carnage	Cosmic Carnage (JU) (32X) [!].32x
32X	Darxide	Darxide (E) (M4) (32X) [!].32x
32X	Doom	Doom (JU) (32X) [!].32x
32X	FIFA International Soccer 96	FIFA International Soccer 96 (UE) (M6) (32X) [c][!].32x
32X	Knuckles' Chaotix	Knuckles' Chaotix (JU) (32X) [!].32x
32X	Kolibri	Kolibri (W) (32X) [!].32x
32X	Metal Head	Metal Head (JU) (M2) (32X) [!].32x
32X	Mortal Kombat II	Mortal Kombat II (JU) (32X) [!].32x
32X	Motocross Championship	Motocross Championship (JU) (32X) [!].32x
32X	NBA Jam Tournament Edition	NBA Jam Tournament Edition (W) (32X) [!].32x
32X	NFL Quarterback Club	NFL Quarterback Club (W) (32X) [!].32x
32X	Pitfall - The Mayan Adventure	Pitfall (U) (32X) [!].32x
32X	Primal Rage	Primal Rage (W) (32X) [!].32x
32X	R.B.I. Baseball 95	R.B.I. Baseball 95 (U) (32X) [!].32x
32X	Sangokushi IV	Sangokushi IV (J) (32X) [!].32x
32X	Shadow Squadron	Shadow Squadron (UE) (32X) [!].32x
32X	Space Harrier	Space Harrier (JU) (32X) [!].32x
32X	Spider-Man - Web of Fire	Spider-Man - Web of Fire (W) (32X) [!].32x
32X	Star Trek - Starfleet Academy Bridge Simulator	Star Trek - Starfleet Academy Bridge Simulator (U) (32X) [!].32x
32X	Star Wars Arcade	Star Wars Arcade (U) (32X) [!].32x
32X	T-MEK	T-MEK (W) (32X) [!].32x
32X	Tempo	Tempo (JU) (32X) [!].32x
32X	Toughman Contest	Toughman Contest (W) (32X) [!].32x
32X	Virtua Fighter	Virtua Fighter (JU) (32X) [!].32x
32X	Virtua Racing Deluxe	Virtua Racing Deluxe (U) (32X) [!].32x
32X	World Series Baseball '95	World Series Baseball '95 (U) (32X) [!].32x
32X	WWF RAW	WWF RAW (W) (32X) [!].32x
32X	WWF Wrestlemania Arcade	WWF Wrestlemania Arcade (W) (32X) [!].32x
32X	Zaxxon's Motherbase 2000	Zaxxon's Motherbase 2000 (JU) (32X) [!].32x
GB	2nd Space	2nd Space (Sachen 4-in-1 Vol. 6) (Unl) [!].gb
GB	4-in-1 Funpak	4-in-1 Funpak (UE) [!].gb
GB	4-in-1 Funpak Vol. II	4-in-1 Funpak Vol. II (JU) [!].gb
GB	A-Force	A-Force (Sachen 4-in-1 Vol. 6) (Unl) [!].gb
GB	Addams Family, The	Addams Family, The (U) [!].gb
GB	Addams Family, The - Pugsley's Scavenger Hunt	Addams Family, The - Pugsley's Scavenger Hunt (U).gb
GB	Adventure Island	Adventure Island (U) [!].gb
GB	Adventure Island II	Adventure Island II (UE) [!].gb
GB	Adventures of Lolo	Adventures of Lolo (U) [S][!].gb
GB	Adventures of Rocky and Bullwinkle, The	Adventures of Rocky and Bullwinkle, The (U).gb
GB	Adventures of Star Saver, The	Adventures of Star Saver, The (U) [!].gb
GB	Aero Star	Aero Star (U) [!].gb
GB	After Burst	After Burst (J).gb
GB	Agro Soar	Agro Soar (A) [!].gb
GB	Aguri Suzuki F-1 Super Driving	Aguri Suzuki F-1 Super Driving (J).gb
GB	Aladdin	Aladdin (U) [S][!].gb
GB	Alfred Chicken	Alfred Chicken (U) [!].gb
GB	Alien 3	Alien 3 (UE) [!].gb
GB	Alien Olympics 2044 AD	Alien Olympics 2044 AD (U) [!].gb
GB	Alien vs Predator - The Last of His Clan	Alien vs Predator - The Last of His Clan (U) [!].gb
GB	All-Star Baseball '99	All-Star Baseball '99 (U) [!].gb
GB	Alleyway	Alleyway (W) [!].gb
GB	Altered Space	Altered Space (U) [!].gb
GB	Amazing Penguin	Amazing Penguin (UE) [!].gb
GB	Amazing Spider-Man 3, The - Invasion of the Spider-Slayers	Amazing Spider-Man 3, The - Invasion of the Spider-Slayers (U) [!].gb
GB	Amazing Spider-Man, The	Amazing Spider-Man, The (UE) [!].gb
GB	Amazing Tater	Amazing Tater (U).gb
GB	Amida	Amida (J).gb
GB	Animaniacs	Animaniacs (U) [S][!].gb
GB	Another Bible	Another Bible (J) [S].gb
GB	Ant Soldiers	Ant Soldiers (Sachen) [!].gb
GB	Aretha	Aretha (J).gb
GB	Asterix	Asterix (UE) (M5) [!].gb
GB	Asteroids	Asteroids (U) [M][!].gb
GB	Asteroids & Missile Command	Asteroids & Missile Command (U) [S][!].gb
GB	Astro Rabby	Astro Rabby (J).gb
GB	Atomic Punk	Atomic Punk (U) [!].gb
GB	Attack of the Killer Tomatoes	Attack of the Killer Tomatoes (U) [!].gb
